tokens,labels
"['Can', 'you', 'show', 'me', 'laptops', 'from', 'a', 'specific', 'brand,', 'like', 'Apple?']",
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'need', 'a', 'budget-friendly', 'laptop.', 'What’s', 'the', 'cheapest', 'one', 'you', 'have?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'need', 'a', 'laptop', 'with', 'a', 'powerful', 'processor', 'for', 'heavy', 'tasks.', 'Any', 'suggestions?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Can', 'you', 'recommend', 'a', 'laptop', 'with', 'at', 'least', 'a', 'Core', 'i5', 'processor?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'need', 'a', 'compact', 'laptop', 'with', 'a', 'smaller', 'display.', 'What', 'are', 'my', 'options?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['What’s', 'the', 'most', 'affordable', 'laptop', 'with', 'a', '15.6-inch', 'display?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'am', 'trying', 'to', 'find', 'a', 'laptop', 'that', 'has', 'a', 'core', 'i9', 'processor', 'and', 'display', 'size', 'of', '15.6,', 'what', 'are', 'my', 'options?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-processor_tier', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'am', 'looking', 'specifically', 'for', 'a', 'Samsung', 'laptop.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-brand', 'O']"
"['I', 'want', 'a', 'laptop', 'that', 'has', 'at', 'least', '16GB', 'RAM', 'and', 'doesn’t', 'cost', 'more', 'than', '$500.', 'Any', 'options?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ram_memory', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
